department,code,title,description,credit_hours,prerequisites
Chemical Engineering,CHEE 3008,Advanced Systems,Comprehensive study of systems with emphasis on theoretical foundations and practical applications.,3,CHEE 2414 and junior standing
Chemical Engineering,CHEE 3737,Thermodynamics,Comprehensive study of thermodynamics with emphasis on theoretical foundations and practical applications.,3,CHEE 2108 and junior standing
Chemical Engineering,CHEE 4939,Advanced Controls,Advanced exploration of controls covering current research and industry practices.,4,CHEE 3289 and senior standing
Chemical Engineering,CHEE 4974,Senior Dynamics,Advanced exploration of dynamics covering current research and industry practices.,2,CHEE 3396 and senior standing
Chemical Engineering,CHEE 4451,Advanced Innovation,Comprehensive study of innovation with emphasis on theoretical foundations and practical applications.,3,CHEE 3891 and senior standing
Chemical Engineering,CHEE 7581,Advanced Analysis,Advanced exploration of analysis covering current research and industry practices.,3,CHEE 3262 and senior standing
Chemical Engineering,CHEE 6093,Advanced Materials,In-depth analysis of materials principles. Students will develop critical thinking and problem-solving skills.,3,CHEE 3108 and senior standing
Chemical Engineering,CHEE 7358,Advanced Analysis,In-depth analysis of analysis principles. Students will develop critical thinking and problem-solving skills.,2,CHEE 3737 and senior standing
Chemical Engineering,CHEE 6784,Special Topics in Materials,Comprehensive study of materials with emphasis on theoretical foundations and practical applications.,3,CHEE 3987 and senior standing
Civil Engineering,CIVE 1864,Principles of Thermodynamics,Fundamental concepts and applications of thermodynamics. Designed for students pursuing careers in related fields.,3,None
Civil Engineering,CIVE 1758,Introduction to Analysis,Examination of key concepts and methodologies in analysis. Includes hands-on experience and case studies.,3,None
Civil Engineering,CIVE 2130,Applied Dynamics,Comprehensive study of dynamics with emphasis on theoretical foundations and practical applications.,3,CIVE 1802 or equivalent
Civil Engineering,CIVE 2582,Thermodynamics,Comprehensive study of thermodynamics with emphasis on theoretical foundations and practical applications.,3,CIVE 1047 or equivalent
Civil Engineering,CIVE 3389,Ethics,Examination of key concepts and methodologies in ethics. Includes hands-on experience and case studies.,3,CIVE 2749 and junior standing
Civil Engineering,CIVE 3869,Ethics,Advanced exploration of ethics covering current research and industry practices.,3,CIVE 2431 and junior standing
Civil Engineering,CIVE 3871,Advanced Analysis,Advanced exploration of analysis covering current research and industry practices.,4,CIVE 2081 and junior standing
Civil Engineering,CIVE 4573,Special Topics in Controls,Comprehensive study of controls with emphasis on theoretical foundations and practical applications.,3,CIVE 3356 and senior standing
Civil Engineering,CIVE 4275,Special Topics in Project Management,Advanced exploration of project management covering current research and industry practices.,3,CIVE 3014 and senior standing
Computer Engineering,EECE 1206,Fundamentals of Design,Fundamental concepts and applications of design. Designed for students pursuing careers in related fields.,3,None
Computer Engineering,EECE 1499,Fundamentals of Dynamics,Examination of key concepts and methodologies in dynamics. Includes hands-on experience and case studies.,4,None
Computer Engineering,EECE 2794,Systems,In-depth analysis of systems principles. Students will develop critical thinking and problem-solving skills.,2,EECE 1364 or equivalent
Computer Engineering,EECE 2508,Intermediate Thermodynamics,Examination of key concepts and methodologies in thermodynamics. Includes hands-on experience and case studies.,4,EECE 1605 or equivalent
Computer Engineering,EECE 3000,Controls,In-depth analysis of controls principles. Students will develop critical thinking and problem-solving skills.,3,EECE 2756 and junior standing
Computer Engineering,EECE 3733,Innovation,Advanced exploration of innovation covering current research and industry practices.,3,EECE 2170 and junior standing
Computer Engineering,EECE 3644,Design,In-depth analysis of design principles. Students will develop critical thinking and problem-solving skills.,3,EECE 2853 and junior standing
Computer Engineering,EECE 4597,Special Topics in Materials,Comprehensive study of materials with emphasis on theoretical foundations and practical applications.,3,EECE 3726 and senior standing
Computer Engineering,EECE 4605,Special Topics in Analysis,Fundamental concepts and applications of analysis. Designed for students pursuing careers in related fields.,3,EECE 3757 and senior standing
Computer Engineering,EECE 4254,Advanced Design,In-depth analysis of design principles. Students will develop critical thinking and problem-solving skills.,3,EECE 3993 and senior standing
Electrical Engineering,EECE 1408,Principles of Thermodynamics,Comprehensive study of thermodynamics with emphasis on theoretical foundations and practical applications.,3,None
Electrical Engineering,EECE 1264,Principles of Materials,Comprehensive study of materials with emphasis on theoretical foundations and practical applications.,4,None
Electrical Engineering,EECE 2402,Applied Materials,Comprehensive study of materials with emphasis on theoretical foundations and practical applications.,3,EECE 1909 or equivalent
Electrical Engineering,EECE 2624,Applied Controls,Examination of key concepts and methodologies in controls. Includes hands-on experience and case studies.,3,EECE 1898 or equivalent
Electrical Engineering,EECE 3406,Advanced Systems,Advanced exploration of systems covering current research and industry practices.,4,EECE 2765 and junior standing
Electrical Engineering,EECE 3166,Advanced Systems,In-depth analysis of systems principles. Students will develop critical thinking and problem-solving skills.,3,EECE 2146 and junior standing
Electrical Engineering,EECE 3723,Analysis,In-depth analysis of analysis principles. Students will develop critical thinking and problem-solving skills.,3,EECE 2779 and junior standing
Electrical Engineering,EECE 4933,Special Topics in Dynamics,In-depth analysis of dynamics principles. Students will develop critical thinking and problem-solving skills.,3,EECE 3300 and senior standing
Electrical Engineering,EECE 4351,Senior Ethics,Advanced exploration of ethics covering current research and industry practices.,2,EECE 3884 and senior standing
Industrial Engineering,INDE 1218,Introduction to Systems,Fundamental concepts and applications of systems. Designed for students pursuing careers in related fields.,3,None
Industrial Engineering,INDE 1704,Principles of Ethics,Fundamental concepts and applications of ethics. Designed for students pursuing careers in related fields.,3,None
Industrial Engineering,INDE 2313,Applied Design,Comprehensive study of design with emphasis on theoretical foundations and practical applications.,3,INDE 1614 or equivalent
Industrial Engineering,INDE 2635,Intermediate Design,Examination of key concepts and methodologies in design. Includes hands-on experience and case studies.,3,INDE 1076 or equivalent
Industrial Engineering,INDE 3195,Advanced Ethics,Examination of key concepts and methodologies in ethics. Includes hands-on experience and case studies.,3,INDE 2461 and junior standing
Industrial Engineering,INDE 3269,Design,In-depth analysis of design principles. Students will develop critical thinking and problem-solving skills.,3,INDE 2027 and junior standing
Industrial Engineering,INDE 3041,Advanced Dynamics,Comprehensive study of dynamics with emphasis on theoretical foundations and practical applications.,3,INDE 2331 and junior standing
Industrial Engineering,INDE 4356,Senior Project Management,Fundamental concepts and applications of project management. Designed for students pursuing careers in related fields.,4,INDE 3931 and senior standing
Mechanical Engineering,MECE 1695,Fundamentals of Ethics,Comprehensive study of ethics with emphasis on theoretical foundations and practical applications.,1,None
Mechanical Engineering,MECE 1867,Principles of Systems,Comprehensive study of systems with emphasis on theoretical foundations and practical applications.,2,None
Mechanical Engineering,MECE 2111,Intermediate Innovation,Examination of key concepts and methodologies in innovation. Includes hands-on experience and case studies.,3,MECE 1552 or equivalent
Mechanical Engineering,MECE 2214,Intermediate Dynamics,Advanced exploration of dynamics covering current research and industry practices.,2,MECE 1986 or equivalent
Mechanical Engineering,MECE 3841,Advanced Systems,In-depth analysis of systems principles. Students will develop critical thinking and problem-solving skills.,4,MECE 2801 and junior standing
Mechanical Engineering,MECE 3560,Innovation,Comprehensive study of innovation with emphasis on theoretical foundations and practical applications.,3,MECE 2683 and junior standing
Mechanical Engineering,MECE 3625,Materials,In-depth analysis of materials principles. Students will develop critical thinking and problem-solving skills.,3,MECE 2421 and junior standing
Mechanical Engineering,MECE 4798,Advanced Systems,Fundamental concepts and applications of systems. Designed for students pursuing careers in related fields.,3,MECE 3280 and senior standing
Mechanical Engineering,MECE 4922,Advanced Analysis,Fundamental concepts and applications of analysis. Designed for students pursuing careers in related fields.,3,MECE 3888 and senior standing
Mechanical Engineering,MECE 4173,Senior Materials,Comprehensive study of materials with emphasis on theoretical foundations and practical applications.,4,MECE 3730 and senior standing
Mechanical Engineering,MECE 6728,Senior Thermodynamics,Advanced exploration of thermodynamics covering current research and industry practices.,3,MECE 3864 and senior standing
Mechanical Engineering,MECE 6689,Special Topics in Analysis,Comprehensive study of analysis with emphasis on theoretical foundations and practical applications.,3,MECE 3109 and senior standing
Mechanical Engineering,MECE 7318,Senior Analysis,Comprehensive study of analysis with emphasis on theoretical foundations and practical applications.,3,MECE 3766 and senior standing
Petroleum Engineering,PETE 1702,Fundamentals of Materials,Fundamental concepts and applications of materials. Designed for students pursuing careers in related fields.,3,None
Petroleum Engineering,PETE 1321,Fundamentals of Systems,Fundamental concepts and applications of systems. Designed for students pursuing careers in related fields.,3,None
Petroleum Engineering,PETE 2996,Applied Thermodynamics,Examination of key concepts and methodologies in thermodynamics. Includes hands-on experience and case studies.,3,PETE 1108 or equivalent
Petroleum Engineering,PETE 2663,Materials,Advanced exploration of materials covering current research and industry practices.,3,PETE 1418 or equivalent
Petroleum Engineering,PETE 3825,Materials,Advanced exploration of materials covering current research and industry practices.,3,PETE 2821 and junior standing
Petroleum Engineering,PETE 3123,Innovation,Fundamental concepts and applications of innovation. Designed for students pursuing careers in related fields.,3,PETE 2863 and junior standing
Petroleum Engineering,PETE 3176,Analysis,Fundamental concepts and applications of analysis. Designed for students pursuing careers in related fields.,3,PETE 2605 and junior standing
Petroleum Engineering,PETE 4166,Advanced Thermodynamics,Fundamental concepts and applications of thermodynamics. Designed for students pursuing careers in related fields.,3,PETE 3919 and senior standing
Biology,BIOL 1103,Fundamentals of Microbiology,Advanced exploration of microbiology covering current research and industry practices.,3,None
Biology,BIOL 1373,Principles of Bioinformatics,Comprehensive study of bioinformatics with emphasis on theoretical foundations and practical applications.,4,None
Biology,BIOL 2251,Molecular Biology,Comprehensive study of molecular biology with emphasis on theoretical foundations and practical applications.,3,BIOL 1321 or equivalent
Biology,BIOL 2195,Applied Physiology,Advanced exploration of physiology covering current research and industry practices.,4,BIOL 1378 or equivalent
Biology,BIOL 3072,Advanced Genetics,Examination of key concepts and methodologies in genetics. Includes hands-on experience and case studies.,2,BIOL 2031 and junior standing
Biology,BIOL 3956,Advanced Biochemistry,Advanced exploration of biochemistry covering current research and industry practices.,2,BIOL 2675 and junior standing
Biology,BIOL 3150,Advanced Biochemistry,Examination of key concepts and methodologies in biochemistry. Includes hands-on experience and case studies.,3,BIOL 2842 and junior standing
Biology,BIOL 4218,Advanced Molecular Biology,In-depth analysis of molecular biology principles. Students will develop critical thinking and problem-solving skills.,3,BIOL 3131 and senior standing
Biology,BIOL 4555,Senior Bioinformatics,In-depth analysis of bioinformatics principles. Students will develop critical thinking and problem-solving skills.,4,BIOL 3615 and senior standing
Biology,BIOL 4218,Senior Bioinformatics,Fundamental concepts and applications of bioinformatics. Designed for students pursuing careers in related fields.,3,BIOL 3309 and senior standing
Biology,BIOL 6857,Advanced Physiology,Comprehensive study of physiology with emphasis on theoretical foundations and practical applications.,4,BIOL 3359 and senior standing
Biochemistry,BIOC 1769,Principles of Physical Chemistry,In-depth analysis of physical chemistry principles. Students will develop critical thinking and problem-solving skills.,3,None
Biochemistry,BIOC 1917,Introduction to Physical Chemistry,Examination of key concepts and methodologies in physical chemistry. Includes hands-on experience and case studies.,3,None
Biochemistry,BIOC 2341,Applied Analytical Chemistry,Examination of key concepts and methodologies in analytical chemistry. Includes hands-on experience and case studies.,2,BIOC 1426 or equivalent
Biochemistry,BIOC 2431,Applied Organic Chemistry,Comprehensive study of organic chemistry with emphasis on theoretical foundations and practical applications.,4,BIOC 1065 or equivalent
Biochemistry,BIOC 3497,Environmental Chemistry,Comprehensive study of environmental chemistry with emphasis on theoretical foundations and practical applications.,3,BIOC 2877 and junior standing
Biochemistry,BIOC 3132,Environmental Chemistry,In-depth analysis of environmental chemistry principles. Students will develop critical thinking and problem-solving skills.,3,BIOC 2623 and junior standing
Biochemistry,BIOC 3411,Advanced Medicinal Chemistry,Comprehensive study of medicinal chemistry with emphasis on theoretical foundations and practical applications.,3,BIOC 2673 and junior standing
Biochemistry,BIOC 4096,Special Topics in Physical Chemistry,Fundamental concepts and applications of physical chemistry. Designed for students pursuing careers in related fields.,3,BIOC 3356 and senior standing
Biochemistry,BIOC 4823,Special Topics in Inorganic Chemistry,Fundamental concepts and applications of inorganic chemistry. Designed for students pursuing careers in related fields.,3,BIOC 3464 and senior standing
Biochemistry,BIOC 4402,Special Topics in Physical Chemistry,In-depth analysis of physical chemistry principles. Students will develop critical thinking and problem-solving skills.,3,BIOC 3543 and senior standing
Biochemistry,BIOC 7715,Advanced Inorganic Chemistry,Examination of key concepts and methodologies in inorganic chemistry. Includes hands-on experience and case studies.,1,BIOC 3242 and senior standing
Biochemistry,BIOC 6332,Advanced Physical Chemistry,Examination of key concepts and methodologies in physical chemistry. Includes hands-on experience and case studies.,3,BIOC 3724 and senior standing
Biochemistry,BIOC 7985,Senior Biochemistry,Advanced exploration of biochemistry covering current research and industry practices.,3,BIOC 3529 and senior standing
Biochemistry,BIOC 6034,Senior Environmental Chemistry,Examination of key concepts and methodologies in environmental chemistry. Includes hands-on experience and case studies.,3,BIOC 3052 and senior standing
Biochemistry,BIOC 7256,Senior Biochemistry,Comprehensive study of biochemistry with emphasis on theoretical foundations and practical applications.,4,BIOC 3110 and senior standing
Chemistry,CHEM 1930,Fundamentals of Biochemistry,Examination of key concepts and methodologies in biochemistry. Includes hands-on experience and case studies.,3,None
Chemistry,CHEM 1763,Introduction to Biochemistry,In-depth analysis of biochemistry principles. Students will develop critical thinking and problem-solving skills.,1,None
Chemistry,CHEM 2334,Applied Organic Chemistry,Advanced exploration of organic chemistry covering current research and industry practices.,3,CHEM 1560 or equivalent
Chemistry,CHEM 2471,Intermediate Environmental Chemistry,Examination of key concepts and methodologies in environmental chemistry. Includes hands-on experience and case studies.,3,CHEM 1728 or equivalent
Chemistry,CHEM 3557,Medicinal Chemistry,Advanced exploration of medicinal chemistry covering current research and industry practices.,3,CHEM 2660 and junior standing
Chemistry,CHEM 3053,Biochemistry,Fundamental concepts and applications of biochemistry. Designed for students pursuing careers in related fields.,3,CHEM 2068 and junior standing
Chemistry,CHEM 3530,Organic Chemistry,Comprehensive study of organic chemistry with emphasis on theoretical foundations and practical applications.,3,CHEM 2466 and junior standing
Chemistry,CHEM 4364,Senior Analytical Chemistry,In-depth analysis of analytical chemistry principles. Students will develop critical thinking and problem-solving skills.,3,CHEM 3938 and senior standing
Computer Science,COSC 1802,Principles of Web Development,Comprehensive study of web development with emphasis on theoretical foundations and practical applications.,2,None
Computer Science,COSC 1218,Principles of Machine Learning,Advanced exploration of machine learning covering current research and industry practices.,3,None
Computer Science,COSC 2158,Intermediate Database Systems,Comprehensive study of database systems with emphasis on theoretical foundations and practical applications.,3,COSC 1867 or equivalent
Computer Science,COSC 2788,Web Development,Examination of key concepts and methodologies in web development. Includes hands-on experience and case studies.,2,COSC 1434 or equivalent
Computer Science,COSC 3312,Advanced Algorithms,Examination of key concepts and methodologies in algorithms. Includes hands-on experience and case studies.,3,COSC 2433 and junior standing
Computer Science,COSC 3186,Advanced Programming,In-depth analysis of programming principles. Students will develop critical thinking and problem-solving skills.,2,COSC 2036 and junior standing
Computer Science,COSC 3249,Machine Learning,Examination of key concepts and methodologies in machine learning. Includes hands-on experience and case studies.,1,COSC 2458 and junior standing
Computer Science,COSC 4159,Senior Web Development,Examination of key concepts and methodologies in web development. Includes hands-on experience and case studies.,3,COSC 3800 and senior standing
Computer Science,COSC 4157,Special Topics in Artificial Intelligence,Examination of key concepts and methodologies in artificial intelligence. Includes hands-on experience and case studies.,3,COSC 3332 and senior standing
Computer Science,COSC 4928,Advanced Algorithms,Comprehensive study of algorithms with emphasis on theoretical foundations and practical applications.,3,COSC 3377 and senior standing
Computer Science,COSC 6176,Advanced Cybersecurity,Fundamental concepts and applications of cybersecurity. Designed for students pursuing careers in related fields.,3,COSC 3822 and senior standing
Computer Science,COSC 7195,Special Topics in Data Structures,Comprehensive study of data structures with emphasis on theoretical foundations and practical applications.,4,COSC 3567 and senior standing
Computer Science,COSC 6178,Senior Computer Networks,Comprehensive study of computer networks with emphasis on theoretical foundations and practical applications.,4,COSC 3206 and senior standing
Computer Science,COSC 7456,Special Topics in Artificial Intelligence,Comprehensive study of artificial intelligence with emphasis on theoretical foundations and practical applications.,3,COSC 3684 and senior standing
Computer Science,COSC 6048,Special Topics in Web Development,Advanced exploration of web development covering current research and industry practices.,3,COSC 3423 and senior standing
Earth and Atmospheric Sciences,GEOS 1207,Introduction to Practice,Examination of key concepts and methodologies in practice. Includes hands-on experience and case studies.,2,None
Earth and Atmospheric Sciences,GEOS 1488,Principles of Practice,Examination of key concepts and methodologies in practice. Includes hands-on experience and case studies.,3,None
Earth and Atmospheric Sciences,GEOS 2796,Intermediate Practice,Advanced exploration of practice covering current research and industry practices.,3,GEOS 1542 or equivalent
Earth and Atmospheric Sciences,GEOS 2224,Intermediate Practice,In-depth analysis of practice principles. Students will develop critical thinking and problem-solving skills.,3,GEOS 1369 or equivalent
Earth and Atmospheric Sciences,GEOS 3077,Advanced Applications,Comprehensive study of applications with emphasis on theoretical foundations and practical applications.,3,GEOS 2913 and junior standing
Earth and Atmospheric Sciences,GEOS 3562,Research,Comprehensive study of research with emphasis on theoretical foundations and practical applications.,3,GEOS 2964 and junior standing
Earth and Atmospheric Sciences,GEOS 3142,Advanced Methods,Advanced exploration of methods covering current research and industry practices.,1,GEOS 2572 and junior standing
Earth and Atmospheric Sciences,GEOS 4822,Special Topics in Practice,Examination of key concepts and methodologies in practice. Includes hands-on experience and case studies.,3,GEOS 3321 and senior standing
Earth and Atmospheric Sciences,GEOS 4073,Advanced Analysis,Comprehensive study of analysis with emphasis on theoretical foundations and practical applications.,3,GEOS 3054 and senior standing
Earth and Atmospheric Sciences,GEOS 4046,Senior Practice,Examination of key concepts and methodologies in practice. Includes hands-on experience and case studies.,4,GEOS 3559 and senior standing
Earth and Atmospheric Sciences,GEOS 7727,Special Topics in Theory,Advanced exploration of theory covering current research and industry practices.,2,GEOS 3049 and senior standing
Earth and Atmospheric Sciences,GEOS 6060,Special Topics in Practice,Fundamental concepts and applications of practice. Designed for students pursuing careers in related fields.,4,GEOS 3195 and senior standing
Earth and Atmospheric Sciences,GEOS 7672,Special Topics in Theory,In-depth analysis of theory principles. Students will develop critical thinking and problem-solving skills.,3,GEOS 3184 and senior standing
Mathematics,MATH 1036,Introduction to Real Analysis,Comprehensive study of real analysis with emphasis on theoretical foundations and practical applications.,3,None
Mathematics,MATH 1547,Introduction to Differential Equations,Comprehensive study of differential equations with emphasis on theoretical foundations and practical applications.,4,None
Mathematics,MATH 2322,Applied Calculus,Comprehensive study of calculus with emphasis on theoretical foundations and practical applications.,3,MATH 1626 or equivalent
Mathematics,MATH 2760,Intermediate Linear Algebra,Examination of key concepts and methodologies in linear algebra. Includes hands-on experience and case studies.,3,MATH 1276 or equivalent
Mathematics,MATH 3872,Advanced Abstract Algebra,Comprehensive study of abstract algebra with emphasis on theoretical foundations and practical applications.,3,MATH 2213 and junior standing
Mathematics,MATH 3310,Discrete Mathematics,Examination of key concepts and methodologies in discrete mathematics. Includes hands-on experience and case studies.,3,MATH 2174 and junior standing
Mathematics,MATH 3128,Advanced Calculus,Fundamental concepts and applications of calculus. Designed for students pursuing careers in related fields.,2,MATH 2111 and junior standing
Mathematics,MATH 4131,Advanced Differential Equations,In-depth analysis of differential equations principles. Students will develop critical thinking and problem-solving skills.,3,MATH 3718 and senior standing
Mathematics,MATH 4448,Advanced Abstract Algebra,Fundamental concepts and applications of abstract algebra. Designed for students pursuing careers in related fields.,3,MATH 3456 and senior standing
Mathematics,MATH 4858,Special Topics in Differential Equations,Advanced exploration of differential equations covering current research and industry practices.,3,MATH 3215 and senior standing
Mathematics,MATH 6745,Advanced Differential Equations,In-depth analysis of differential equations principles. Students will develop critical thinking and problem-solving skills.,4,MATH 3640 and senior standing
Mathematics,MATH 6832,Senior Discrete Mathematics,In-depth analysis of discrete mathematics principles. Students will develop critical thinking and problem-solving skills.,3,MATH 3683 and senior standing
Mathematics,MATH 7378,Special Topics in Geometry,Fundamental concepts and applications of geometry. Designed for students pursuing careers in related fields.,3,MATH 3024 and senior standing
Mathematics,MATH 6778,Advanced Real Analysis,Comprehensive study of real analysis with emphasis on theoretical foundations and practical applications.,3,MATH 3149 and senior standing
Physics,PHYS 1252,Introduction to Theory,Advanced exploration of theory covering current research and industry practices.,3,None
Physics,PHYS 1886,Fundamentals of Analysis,Fundamental concepts and applications of analysis. Designed for students pursuing careers in related fields.,3,None
Physics,PHYS 2885,Applied Applications,Advanced exploration of applications covering current research and industry practices.,2,PHYS 1738 or equivalent
Physics,PHYS 2271,Intermediate Applications,In-depth analysis of applications principles. Students will develop critical thinking and problem-solving skills.,4,PHYS 1268 or equivalent
Physics,PHYS 3561,Methods,Advanced exploration of methods covering current research and industry practices.,3,PHYS 2788 and junior standing
Physics,PHYS 3088,Advanced Analysis,Examination of key concepts and methodologies in analysis. Includes hands-on experience and case studies.,3,PHYS 2255 and junior standing
Physics,PHYS 3237,Advanced Methods,Advanced exploration of methods covering current research and industry practices.,2,PHYS 2334 and junior standing
Physics,PHYS 4550,Special Topics in Theory,Fundamental concepts and applications of theory. Designed for students pursuing careers in related fields.,3,PHYS 3312 and senior standing
Physics,PHYS 4511,Advanced Practice,Examination of key concepts and methodologies in practice. Includes hands-on experience and case studies.,2,PHYS 3054 and senior standing
Physics,PHYS 4242,Special Topics in Theory,Advanced exploration of theory covering current research and industry practices.,3,PHYS 3900 and senior standing
Statistics,STAT 1411,Fundamentals of Methods,Fundamental concepts and applications of methods. Designed for students pursuing careers in related fields.,3,None
Statistics,STAT 1207,Fundamentals of Analysis,Comprehensive study of analysis with emphasis on theoretical foundations and practical applications.,3,None
Statistics,STAT 2834,Applied Analysis,Examination of key concepts and methodologies in analysis. Includes hands-on experience and case studies.,3,STAT 1780 or equivalent
Statistics,STAT 2559,Applied Methods,In-depth analysis of methods principles. Students will develop critical thinking and problem-solving skills.,3,STAT 1663 or equivalent
Statistics,STAT 3056,Advanced Analysis,Examination of key concepts and methodologies in analysis. Includes hands-on experience and case studies.,2,STAT 2370 and junior standing
Statistics,STAT 3303,Advanced Theory,Advanced exploration of theory covering current research and industry practices.,3,STAT 2152 and junior standing
Statistics,STAT 3872,Applications,Comprehensive study of applications with emphasis on theoretical foundations and practical applications.,3,STAT 2566 and junior standing
Statistics,STAT 4873,Special Topics in Research,Comprehensive study of research with emphasis on theoretical foundations and practical applications.,3,STAT 3193 and senior standing
Statistics,STAT 4818,Special Topics in Applications,Fundamental concepts and applications of applications. Designed for students pursuing careers in related fields.,3,STAT 3236 and senior standing
Statistics,STAT 4610,Senior Practice,Advanced exploration of practice covering current research and industry practices.,2,STAT 3627 and senior standing
Statistics,STAT 6802,Senior Analysis,Examination of key concepts and methodologies in analysis. Includes hands-on experience and case studies.,4,STAT 3588 and senior standing
Accounting,ACCT 1895,Introduction to Practice,Fundamental concepts and applications of practice. Designed for students pursuing careers in related fields.,2,None
Accounting,ACCT 1335,Fundamentals of Research,Comprehensive study of research with emphasis on theoretical foundations and practical applications.,4,None
Accounting,ACCT 2329,Applied Practice,Fundamental concepts and applications of practice. Designed for students pursuing careers in related fields.,3,ACCT 1697 or equivalent
Accounting,ACCT 2712,Applied Analysis,Examination of key concepts and methodologies in analysis. Includes hands-on experience and case studies.,1,ACCT 1484 or equivalent
Accounting,ACCT 3983,Advanced Theory,In-depth analysis of theory principles. Students will develop critical thinking and problem-solving skills.,3,ACCT 2708 and junior standing
Accounting,ACCT 3101,Applications,Comprehensive study of applications with emphasis on theoretical foundations and practical applications.,3,ACCT 2841 and junior standing
Accounting,ACCT 3446,Advanced Theory,Comprehensive study of theory with emphasis on theoretical foundations and practical applications.,4,ACCT 2171 and junior standing
Accounting,ACCT 4810,Special Topics in Analysis,Fundamental concepts and applications of analysis. Designed for students pursuing careers in related fields.,4,ACCT 3297 and senior standing
Accounting,ACCT 4030,Special Topics in Analysis,Examination of key concepts and methodologies in analysis. Includes hands-on experience and case studies.,2,ACCT 3034 and senior standing
Business Administration,BUSA 1882,Principles of Marketing,In-depth analysis of marketing principles. Students will develop critical thinking and problem-solving skills.,2,None
Business Administration,BUSA 1814,Principles of Marketing,Advanced exploration of marketing covering current research and industry practices.,4,None
Business Administration,BUSA 2770,Intermediate Entrepreneurship,In-depth analysis of entrepreneurship principles. Students will develop critical thinking and problem-solving skills.,3,BUSA 1078 or equivalent
Business Administration,BUSA 2439,Applied Strategy,Examination of key concepts and methodologies in strategy. Includes hands-on experience and case studies.,3,BUSA 1686 or equivalent
Business Administration,BUSA 3268,Strategy,Fundamental concepts and applications of strategy. Designed for students pursuing careers in related fields.,3,BUSA 2994 and junior standing
Business Administration,BUSA 3360,Advanced Leadership,Advanced exploration of leadership covering current research and industry practices.,4,BUSA 2238 and junior standing
Business Administration,BUSA 3038,Advanced Operations,In-depth analysis of operations principles. Students will develop critical thinking and problem-solving skills.,3,BUSA 2013 and junior standing
Business Administration,BUSA 4878,Senior Economics,Examination of key concepts and methodologies in economics. Includes hands-on experience and case studies.,3,BUSA 3414 and senior standing
Business Administration,BUSA 4623,Advanced Management,Advanced exploration of management covering current research and industry practices.,3,BUSA 3213 and senior standing
Business Administration,BUSA 4441,Senior Finance,Fundamental concepts and applications of finance. Designed for students pursuing careers in related fields.,3,BUSA 3364 and senior standing
Business Administration,BUSA 6356,Special Topics in Leadership,Comprehensive study of leadership with emphasis on theoretical foundations and practical applications.,4,BUSA 3169 and senior standing
Entrepreneurship,ENTR 1737,Principles of Research,Advanced exploration of research covering current research and industry practices.,3,None
Entrepreneurship,ENTR 1199,Fundamentals of Analysis,Examination of key concepts and methodologies in analysis. Includes hands-on experience and case studies.,3,None
Entrepreneurship,ENTR 2112,Intermediate Theory,Comprehensive study of theory with emphasis on theoretical foundations and practical applications.,3,ENTR 1631 or equivalent
Entrepreneurship,ENTR 2691,Practice,In-depth analysis of practice principles. Students will develop critical thinking and problem-solving skills.,3,ENTR 1489 or equivalent
