department,code,title,description,credit_hours,prerequisites
Chemical and Biomolecular Engineering,CHBE 666,Special Topics in Thermodynamics,Rigorous treatment of thermodynamics theory and applications with emphasis on research methodology.,1,CHBE 379 and senior standing or graduate status
Chemical and Biomolecular Engineering,CHBE 741,Graduate Optimization,In-depth analysis of optimization principles. Students will develop critical thinking and problem-solving skills.,4,CHBE 318 and senior standing or graduate status
Chemical and Biomolecular Engineering,CHBE 738,Advanced Dynamics,Interdisciplinary approach to dynamics combining theoretical knowledge with practical problem-solving.,1,CHBE 318 and senior standing or graduate status
Civil and Environmental Engineering,CEVE 168,Fundamentals of Design,Examination of key concepts and methodologies in design. Includes hands-on experience and case studies.,3,None
Civil and Environmental Engineering,CEVE 185,Fundamentals of Thermodynamics,Rigorous treatment of thermodynamics theory and applications with emphasis on research methodology.,3,None
Civil and Environmental Engineering,CEVE 263,Intermediate Controls,In-depth analysis of controls principles. Students will develop critical thinking and problem-solving skills.,4,CEVE 111 or equivalent
Civil and Environmental Engineering,CEVE 274,Systems,Rigorous treatment of systems theory and applications with emphasis on research methodology.,3,CEVE 130 or equivalent
Civil and Environmental Engineering,CEVE 326,Advanced Dynamics,Comprehensive study of dynamics with emphasis on theoretical foundations and practical applications.,3,CEVE 224 and junior standing
Civil and Environmental Engineering,CEVE 341,Advanced Dynamics,Comprehensive study of dynamics with emphasis on theoretical foundations and practical applications.,3,CEVE 289 and junior standing
Civil and Environmental Engineering,CEVE 343,Analysis,Rigorous treatment of analysis theory and applications with emphasis on research methodology.,3,CEVE 237 and junior standing
Civil and Environmental Engineering,CEVE 438,Special Topics in Analysis,Fundamental concepts and applications of analysis. Designed for students pursuing careers in related fields.,4,CEVE 323 and senior standing or graduate status
Civil and Environmental Engineering,CEVE 402,Advanced Dynamics,In-depth analysis of dynamics principles. Students will develop critical thinking and problem-solving skills.,3,CEVE 379 and senior standing or graduate status
Civil and Environmental Engineering,CEVE 469,Advanced Dynamics,Comprehensive study of dynamics with emphasis on theoretical foundations and practical applications.,4,CEVE 378 and senior standing or graduate status
Civil and Environmental Engineering,CEVE 769,Special Topics in Optimization,Examination of key concepts and methodologies in optimization. Includes hands-on experience and case studies.,3,CEVE 326 and senior standing or graduate status
Civil and Environmental Engineering,CEVE 592,Graduate Ethics,Interdisciplinary approach to ethics combining theoretical knowledge with practical problem-solving.,3,CEVE 315 and senior standing or graduate status
Computer Science,COMP 175,Fundamentals of Programming,Interdisciplinary approach to programming combining theoretical knowledge with practical problem-solving.,2,None
Computer Science,COMP 132,Fundamentals of Artificial Intelligence,Rigorous treatment of artificial intelligence theory and applications with emphasis on research methodology.,4,None
Computer Science,COMP 295,Intermediate Cybersecurity,Advanced exploration of cybersecurity covering current research and industry practices.,3,COMP 103 or equivalent
Computer Science,COMP 280,Applied Web Development,Fundamental concepts and applications of web development. Designed for students pursuing careers in related fields.,4,COMP 112 or equivalent
Computer Science,COMP 346,Advanced Software Engineering,Examination of key concepts and methodologies in software engineering. Includes hands-on experience and case studies.,3,COMP 211 and junior standing
Computer Science,COMP 331,Advanced Human-Computer Interaction,Comprehensive study of human-computer interaction with emphasis on theoretical foundations and practical applications.,4,COMP 214 and junior standing
Computer Science,COMP 317,Software Engineering,In-depth analysis of software engineering principles. Students will develop critical thinking and problem-solving skills.,3,COMP 295 and junior standing
Computer Science,COMP 412,Advanced Data Structures,Examination of key concepts and methodologies in data structures. Includes hands-on experience and case studies.,4,COMP 399 and senior standing or graduate status
Computer Science,COMP 463,Special Topics in Database Systems,Fundamental concepts and applications of database systems. Designed for students pursuing careers in related fields.,3,COMP 346 and senior standing or graduate status
Computer Science,COMP 446,Special Topics in Human-Computer Interaction,Comprehensive study of human-computer interaction with emphasis on theoretical foundations and practical applications.,4,COMP 399 and senior standing or graduate status
Electrical and Computer Engineering,ELEC 120,Fundamentals of Data Structures,Comprehensive study of data structures with emphasis on theoretical foundations and practical applications.,1,None
Electrical and Computer Engineering,ELEC 144,Fundamentals of Algorithms,Interdisciplinary approach to algorithms combining theoretical knowledge with practical problem-solving.,3,None
Electrical and Computer Engineering,ELEC 230,Applied Computer Networks,Rigorous treatment of computer networks theory and applications with emphasis on research methodology.,3,ELEC 122 or equivalent
Electrical and Computer Engineering,ELEC 293,Intermediate Data Structures,Examination of key concepts and methodologies in data structures. Includes hands-on experience and case studies.,3,ELEC 166 or equivalent
Electrical and Computer Engineering,ELEC 354,Advanced Computer Graphics,In-depth analysis of computer graphics principles. Students will develop critical thinking and problem-solving skills.,3,ELEC 247 and junior standing
Electrical and Computer Engineering,ELEC 378,Artificial Intelligence,Advanced exploration of artificial intelligence covering current research and industry practices.,3,ELEC 202 and junior standing
Electrical and Computer Engineering,ELEC 314,Advanced Computer Graphics,Advanced exploration of computer graphics covering current research and industry practices.,3,ELEC 290 and junior standing
Electrical and Computer Engineering,ELEC 422,Graduate Programming,In-depth analysis of programming principles. Students will develop critical thinking and problem-solving skills.,3,ELEC 302 and senior standing or graduate status
Electrical and Computer Engineering,ELEC 465,Advanced Machine Learning,In-depth analysis of machine learning principles. Students will develop critical thinking and problem-solving skills.,3,ELEC 301 and senior standing or graduate status
Electrical and Computer Engineering,ELEC 483,Graduate Computer Graphics,Fundamental concepts and applications of computer graphics. Designed for students pursuing careers in related fields.,3,ELEC 333 and senior standing or graduate status
Electrical and Computer Engineering,ELEC 701,Advanced Computer Graphics,Comprehensive study of computer graphics with emphasis on theoretical foundations and practical applications.,4,ELEC 306 and senior standing or graduate status
Electrical and Computer Engineering,ELEC 654,Graduate Computer Networks,In-depth analysis of computer networks principles. Students will develop critical thinking and problem-solving skills.,3,ELEC 369 and senior standing or graduate status
Materials Science and NanoEngineering,MSNE 186,Introduction to Computer Graphics,Comprehensive study of computer graphics with emphasis on theoretical foundations and practical applications.,1,None
Materials Science and NanoEngineering,MSNE 119,Principles of Database Systems,Comprehensive study of database systems with emphasis on theoretical foundations and practical applications.,4,None
Materials Science and NanoEngineering,MSNE 257,Algorithms,In-depth analysis of algorithms principles. Students will develop critical thinking and problem-solving skills.,4,MSNE 177 or equivalent
Materials Science and NanoEngineering,MSNE 289,Applied Algorithms,Fundamental concepts and applications of algorithms. Designed for students pursuing careers in related fields.,4,MSNE 101 or equivalent
Materials Science and NanoEngineering,MSNE 354,Advanced Web Development,Advanced exploration of web development covering current research and industry practices.,4,MSNE 296 and junior standing
Materials Science and NanoEngineering,MSNE 371,Advanced Programming,Rigorous treatment of programming theory and applications with emphasis on research methodology.,3,MSNE 228 and junior standing
Materials Science and NanoEngineering,MSNE 339,Computer Networks,Fundamental concepts and applications of computer networks. Designed for students pursuing careers in related fields.,4,MSNE 252 and junior standing
Materials Science and NanoEngineering,MSNE 463,Graduate Computer Networks,Examination of key concepts and methodologies in computer networks. Includes hands-on experience and case studies.,4,MSNE 348 and senior standing or graduate status
Materials Science and NanoEngineering,MSNE 434,Graduate Data Structures,Fundamental concepts and applications of data structures. Designed for students pursuing careers in related fields.,4,MSNE 372 and senior standing or graduate status
Materials Science and NanoEngineering,MSNE 410,Advanced Computer Graphics,Rigorous treatment of computer graphics theory and applications with emphasis on research methodology.,3,MSNE 388 and senior standing or graduate status
Materials Science and NanoEngineering,MSNE 727,Special Topics in Programming,Comprehensive study of programming with emphasis on theoretical foundations and practical applications.,3,MSNE 305 and senior standing or graduate status
Mechanical Engineering,MECH 150,Principles of Dynamics,In-depth analysis of dynamics principles. Students will develop critical thinking and problem-solving skills.,2,None
Mechanical Engineering,MECH 163,Principles of Design,Interdisciplinary approach to design combining theoretical knowledge with practical problem-solving.,3,None
Mechanical Engineering,MECH 278,Ethics,In-depth analysis of ethics principles. Students will develop critical thinking and problem-solving skills.,3,MECH 134 or equivalent
Mechanical Engineering,MECH 279,Design,Interdisciplinary approach to design combining theoretical knowledge with practical problem-solving.,4,MECH 146 or equivalent
Mechanical Engineering,MECH 396,Advanced Dynamics,Fundamental concepts and applications of dynamics. Designed for students pursuing careers in related fields.,1,MECH 276 and junior standing
Mechanical Engineering,MECH 300,Dynamics,In-depth analysis of dynamics principles. Students will develop critical thinking and problem-solving skills.,3,MECH 245 and junior standing
Mechanical Engineering,MECH 392,Analysis,Fundamental concepts and applications of analysis. Designed for students pursuing careers in related fields.,4,MECH 246 and junior standing
Mechanical Engineering,MECH 494,Advanced Materials,Examination of key concepts and methodologies in materials. Includes hands-on experience and case studies.,3,MECH 355 and senior standing or graduate status
Mechanical Engineering,MECH 469,Advanced Dynamics,Comprehensive study of dynamics with emphasis on theoretical foundations and practical applications.,4,MECH 384 and senior standing or graduate status
Mechanical Engineering,MECH 450,Advanced Optimization,Rigorous treatment of optimization theory and applications with emphasis on research methodology.,4,MECH 369 and senior standing or graduate status
Mechanical Engineering,MECH 580,Graduate Controls,Fundamental concepts and applications of controls. Designed for students pursuing careers in related fields.,1,MECH 302 and senior standing or graduate status
Biosciences,BIOC 111,Principles of Biochemistry,Fundamental concepts and applications of biochemistry. Designed for students pursuing careers in related fields.,3,None
Biosciences,BIOC 124,Fundamentals of Physiology,Examination of key concepts and methodologies in physiology. Includes hands-on experience and case studies.,4,None
Biosciences,BIOC 221,Evolution,Comprehensive study of evolution with emphasis on theoretical foundations and practical applications.,4,BIOC 198 or equivalent
Biosciences,BIOC 234,Applied Bioinformatics,Interdisciplinary approach to bioinformatics combining theoretical knowledge with practical problem-solving.,3,BIOC 172 or equivalent
Biosciences,BIOC 349,Evolution,Examination of key concepts and methodologies in evolution. Includes hands-on experience and case studies.,4,BIOC 291 and junior standing
Biosciences,BIOC 351,Advanced Microbiology,Interdisciplinary approach to microbiology combining theoretical knowledge with practical problem-solving.,1,BIOC 200 and junior standing
Biosciences,BIOC 313,Advanced Physiology,Examination of key concepts and methodologies in physiology. Includes hands-on experience and case studies.,3,BIOC 287 and junior standing
Biosciences,BIOC 406,Graduate Biotechnology,Rigorous treatment of biotechnology theory and applications with emphasis on research methodology.,4,BIOC 300 and senior standing or graduate status
Biosciences,BIOC 465,Advanced Microbiology,Examination of key concepts and methodologies in microbiology. Includes hands-on experience and case studies.,3,BIOC 323 and senior standing or graduate status
Biosciences,BIOC 414,Advanced Genetics,Examination of key concepts and methodologies in genetics. Includes hands-on experience and case studies.,4,BIOC 340 and senior standing or graduate status
Biosciences,BIOC 717,Special Topics in Molecular Biology,In-depth analysis of molecular biology principles. Students will develop critical thinking and problem-solving skills.,3,BIOC 387 and senior standing or graduate status
Chemistry,CHEM 111,Fundamentals of Organic Chemistry,Fundamental concepts and applications of organic chemistry. Designed for students pursuing careers in related fields.,3,None
Chemistry,CHEM 145,Introduction to Materials Chemistry,Examination of key concepts and methodologies in materials chemistry. Includes hands-on experience and case studies.,3,None
Chemistry,CHEM 203,Intermediate Materials Chemistry,Comprehensive study of materials chemistry with emphasis on theoretical foundations and practical applications.,3,CHEM 123 or equivalent
Chemistry,CHEM 298,Organic Chemistry,Comprehensive study of organic chemistry with emphasis on theoretical foundations and practical applications.,3,CHEM 124 or equivalent
Chemistry,CHEM 381,Advanced Physical Chemistry,Fundamental concepts and applications of physical chemistry. Designed for students pursuing careers in related fields.,4,CHEM 262 and junior standing
Chemistry,CHEM 392,Advanced Analytical Chemistry,Fundamental concepts and applications of analytical chemistry. Designed for students pursuing careers in related fields.,3,CHEM 269 and junior standing
Chemistry,CHEM 324,Advanced Materials Chemistry,Fundamental concepts and applications of materials chemistry. Designed for students pursuing careers in related fields.,3,CHEM 218 and junior standing
Chemistry,CHEM 495,Graduate Organic Chemistry,Fundamental concepts and applications of organic chemistry. Designed for students pursuing careers in related fields.,4,CHEM 334 and senior standing or graduate status
Chemistry,CHEM 451,Advanced Environmental Chemistry,Comprehensive study of environmental chemistry with emphasis on theoretical foundations and practical applications.,4,CHEM 330 and senior standing or graduate status
Chemistry,CHEM 438,Special Topics in Biochemistry,Rigorous treatment of biochemistry theory and applications with emphasis on research methodology.,3,CHEM 373 and senior standing or graduate status
Chemistry,CHEM 637,Special Topics in Medicinal Chemistry,Examination of key concepts and methodologies in medicinal chemistry. Includes hands-on experience and case studies.,2,CHEM 353 and senior standing or graduate status
Chemistry,CHEM 596,Graduate Analytical Chemistry,Rigorous treatment of analytical chemistry theory and applications with emphasis on research methodology.,4,CHEM 304 and senior standing or graduate status
"Earth, Environmental and Planetary Sciences",EEPS 115,Introduction to Artificial Intelligence,Examination of key concepts and methodologies in artificial intelligence. Includes hands-on experience and case studies.,4,None
"Earth, Environmental and Planetary Sciences",EEPS 120,Principles of Artificial Intelligence,Advanced exploration of artificial intelligence covering current research and industry practices.,3,None
"Earth, Environmental and Planetary Sciences",EEPS 210,Intermediate Programming,Fundamental concepts and applications of programming. Designed for students pursuing careers in related fields.,4,EEPS 120 or equivalent
"Earth, Environmental and Planetary Sciences",EEPS 270,Applied Software Engineering,In-depth analysis of software engineering principles. Students will develop critical thinking and problem-solving skills.,4,EEPS 195 or equivalent
"Earth, Environmental and Planetary Sciences",EEPS 378,Advanced Human-Computer Interaction,Rigorous treatment of human-computer interaction theory and applications with emphasis on research methodology.,4,EEPS 254 and junior standing
"Earth, Environmental and Planetary Sciences",EEPS 312,Cybersecurity,Interdisciplinary approach to cybersecurity combining theoretical knowledge with practical problem-solving.,3,EEPS 251 and junior standing
"Earth, Environmental and Planetary Sciences",EEPS 310,Machine Learning,Rigorous treatment of machine learning theory and applications with emphasis on research methodology.,3,EEPS 284 and junior standing
"Earth, Environmental and Planetary Sciences",EEPS 464,Advanced Human-Computer Interaction,Fundamental concepts and applications of human-computer interaction. Designed for students pursuing careers in related fields.,1,EEPS 325 and senior standing or graduate status
"Earth, Environmental and Planetary Sciences",EEPS 443,Graduate Human-Computer Interaction,In-depth analysis of human-computer interaction principles. Students will develop critical thinking and problem-solving skills.,4,EEPS 306 and senior standing or graduate status
"Earth, Environmental and Planetary Sciences",EEPS 448,Graduate Database Systems,Advanced exploration of database systems covering current research and industry practices.,4,EEPS 392 and senior standing or graduate status
"Earth, Environmental and Planetary Sciences",EEPS 641,Advanced Computer Graphics,In-depth analysis of computer graphics principles. Students will develop critical thinking and problem-solving skills.,4,EEPS 391 and senior standing or graduate status
Mathematics,MATH 165,Fundamentals of Calculus,Examination of key concepts and methodologies in calculus. Includes hands-on experience and case studies.,3,None
Mathematics,MATH 103,Fundamentals of Linear Algebra,Rigorous treatment of linear algebra theory and applications with emphasis on research methodology.,3,None
Mathematics,MATH 249,Abstract Algebra,Rigorous treatment of abstract algebra theory and applications with emphasis on research methodology.,3,MATH 168 or equivalent
Mathematics,MATH 235,Applied Calculus,Rigorous treatment of calculus theory and applications with emphasis on research methodology.,3,MATH 143 or equivalent
Mathematics,MATH 332,Linear Algebra,Fundamental concepts and applications of linear algebra. Designed for students pursuing careers in related fields.,4,MATH 294 and junior standing
Mathematics,MATH 348,Advanced Differential Equations,In-depth analysis of differential equations principles. Students will develop critical thinking and problem-solving skills.,3,MATH 293 and junior standing
Mathematics,MATH 304,Advanced Calculus,Interdisciplinary approach to calculus combining theoretical knowledge with practical problem-solving.,3,MATH 293 and junior standing
Mathematics,MATH 415,Graduate Differential Equations,Fundamental concepts and applications of differential equations. Designed for students pursuing careers in related fields.,3,MATH 365 and senior standing or graduate status
Mathematics,MATH 467,Graduate Linear Algebra,Examination of key concepts and methodologies in linear algebra. Includes hands-on experience and case studies.,4,MATH 332 and senior standing or graduate status
Mathematics,MATH 419,Advanced Statistics,Examination of key concepts and methodologies in statistics. Includes hands-on experience and case studies.,3,MATH 315 and senior standing or graduate status
Mathematics,MATH 686,Advanced Probability,Advanced exploration of probability covering current research and industry practices.,4,MATH 359 and senior standing or graduate status
Mathematics,MATH 626,Graduate Statistics,Examination of key concepts and methodologies in statistics. Includes hands-on experience and case studies.,4,MATH 356 and senior standing or graduate status
Mathematics,MATH 692,Special Topics in Differential Equations,Examination of key concepts and methodologies in differential equations. Includes hands-on experience and case studies.,4,MATH 339 and senior standing or graduate status
Mathematics,MATH 673,Graduate Statistics,Examination of key concepts and methodologies in statistics. Includes hands-on experience and case studies.,3,MATH 314 and senior standing or graduate status
Physics and Astronomy,ASTR 155,Principles of Thermodynamics,In-depth analysis of thermodynamics principles. Students will develop critical thinking and problem-solving skills.,4,None
Physics and Astronomy,ASTR 138,Fundamentals of Classical Mechanics,Advanced exploration of classical mechanics covering current research and industry practices.,4,None
Physics and Astronomy,ASTR 260,Intermediate Astrophysics,Advanced exploration of astrophysics covering current research and industry practices.,3,ASTR 112 or equivalent
Physics and Astronomy,PHYS 205,Applied Particle Physics,Advanced exploration of particle physics covering current research and industry practices.,3,PHYS 130 or equivalent
Physics and Astronomy,ASTR 335,Quantum Mechanics,Examination of key concepts and methodologies in quantum mechanics. Includes hands-on experience and case studies.,3,ASTR 295 and junior standing
Physics and Astronomy,PHYS 383,Advanced Condensed Matter,Examination of key concepts and methodologies in condensed matter. Includes hands-on experience and case studies.,3,PHYS 291 and junior standing
Physics and Astronomy,ASTR 350,Condensed Matter,Examination of key concepts and methodologies in condensed matter. Includes hands-on experience and case studies.,4,ASTR 202 and junior standing
Physics and Astronomy,ASTR 428,Special Topics in Quantum Mechanics,Comprehensive study of quantum mechanics with emphasis on theoretical foundations and practical applications.,3,ASTR 347 and senior standing or graduate status
Physics and Astronomy,PHYS 481,Advanced Astrophysics,In-depth analysis of astrophysics principles. Students will develop critical thinking and problem-solving skills.,3,PHYS 314 and senior standing or graduate status
Physics and Astronomy,PHYS 410,Special Topics in Astrophysics,Advanced exploration of astrophysics covering current research and industry practices.,3,PHYS 320 and senior standing or graduate status
Physics and Astronomy,ASTR 543,Graduate Condensed Matter,In-depth analysis of condensed matter principles. Students will develop critical thinking and problem-solving skills.,3,ASTR 352 and senior standing or graduate status
Physics and Astronomy,ASTR 524,Advanced Quantum Mechanics,Fundamental concepts and applications of quantum mechanics. Designed for students pursuing careers in related fields.,3,ASTR 360 and senior standing or graduate status
Physics and Astronomy,ASTR 558,Graduate Classical Mechanics,Advanced exploration of classical mechanics covering current research and industry practices.,4,ASTR 336 and senior standing or graduate status
Statistics,STAT 131,Principles of Analysis,Comprehensive study of analysis with emphasis on theoretical foundations and practical applications.,4,None
Statistics,STAT 131,Introduction to Methods,In-depth analysis of methods principles. Students will develop critical thinking and problem-solving skills.,3,None
Statistics,STAT 280,Practice,Interdisciplinary approach to practice combining theoretical knowledge with practical problem-solving.,4,STAT 131 or equivalent
Statistics,STAT 275,Applied Analysis,Advanced exploration of analysis covering current research and industry practices.,2,STAT 134 or equivalent
Statistics,STAT 301,Methods,Fundamental concepts and applications of methods. Designed for students pursuing careers in related fields.,3,STAT 295 and junior standing
Statistics,STAT 322,Research,In-depth analysis of research principles. Students will develop critical thinking and problem-solving skills.,1,STAT 269 and junior standing
Statistics,STAT 370,Theory,Fundamental concepts and applications of theory. Designed for students pursuing careers in related fields.,4,STAT 214 and junior standing
Statistics,STAT 419,Special Topics in Methods,Comprehensive study of methods with emphasis on theoretical foundations and practical applications.,4,STAT 350 and senior standing or graduate status
Statistics,STAT 429,Advanced Applications,Fundamental concepts and applications of applications. Designed for students pursuing careers in related fields.,3,STAT 322 and senior standing or graduate status
Statistics,STAT 464,Graduate Research,Fundamental concepts and applications of research. Designed for students pursuing careers in related fields.,3,STAT 379 and senior standing or graduate status
Statistics,STAT 555,Graduate Seminar,Rigorous treatment of seminar theory and applications with emphasis on research methodology.,4,STAT 386 and senior standing or graduate status
Statistics,STAT 705,Advanced Applications,Advanced exploration of applications covering current research and industry practices.,4,STAT 303 and senior standing or graduate status
Statistics,STAT 575,Graduate Theory,Fundamental concepts and applications of theory. Designed for students pursuing careers in related fields.,4,STAT 376 and senior standing or graduate status
Statistics,STAT 659,Graduate Applications,In-depth analysis of applications principles. Students will develop critical thinking and problem-solving skills.,3,STAT 384 and senior standing or graduate status
Cognitive Sciences,COGS 103,Principles of Web Development,In-depth analysis of web development principles. Students will develop critical thinking and problem-solving skills.,3,None
Cognitive Sciences,COGS 152,Principles of Algorithms,Interdisciplinary approach to algorithms combining theoretical knowledge with practical problem-solving.,3,None
Cognitive Sciences,COGS 257,Applied Computer Graphics,Comprehensive study of computer graphics with emphasis on theoretical foundations and practical applications.,2,COGS 108 or equivalent
Cognitive Sciences,COGS 254,Applied Human-Computer Interaction,Rigorous treatment of human-computer interaction theory and applications with emphasis on research methodology.,4,COGS 187 or equivalent
Cognitive Sciences,COGS 372,Advanced Cybersecurity,Comprehensive study of cybersecurity with emphasis on theoretical foundations and practical applications.,3,COGS 225 and junior standing
Cognitive Sciences,COGS 346,Advanced Computer Networks,Interdisciplinary approach to computer networks combining theoretical knowledge with practical problem-solving.,4,COGS 269 and junior standing
Cognitive Sciences,COGS 312,Data Structures,Rigorous treatment of data structures theory and applications with emphasis on research methodology.,4,COGS 253 and junior standing
Cognitive Sciences,COGS 421,Advanced Artificial Intelligence,Comprehensive study of artificial intelligence with emphasis on theoretical foundations and practical applications.,3,COGS 305 and senior standing or graduate status
Cognitive Sciences,COGS 400,Advanced Programming,Comprehensive study of programming with emphasis on theoretical foundations and practical applications.,4,COGS 394 and senior standing or graduate status
Cognitive Sciences,COGS 401,Special Topics in Software Engineering,In-depth analysis of software engineering principles. Students will develop critical thinking and problem-solving skills.,4,COGS 389 and senior standing or graduate status
Business,BUSI 192,Fundamentals of Leadership,Interdisciplinary approach to leadership combining theoretical knowledge with practical problem-solving.,3,None
Business,BUSI 170,Introduction to Economics,Fundamental concepts and applications of economics. Designed for students pursuing careers in related fields.,3,None
Business,BUSI 275,Intermediate Finance,Fundamental concepts and applications of finance. Designed for students pursuing careers in related fields.,3,BUSI 131 or equivalent
Business,BUSI 214,Intermediate Management,Rigorous treatment of management theory and applications with emphasis on research methodology.,3,BUSI 192 or equivalent
Business,BUSI 388,Operations,Advanced exploration of operations covering current research and industry practices.,4,BUSI 263 and junior standing
Business,BUSI 343,Leadership,Fundamental concepts and applications of leadership. Designed for students pursuing careers in related fields.,4,BUSI 262 and junior standing
Business,BUSI 312,Advanced Marketing,Advanced exploration of marketing covering current research and industry practices.,2,BUSI 297 and junior standing
Business,BUSI 451,Graduate Leadership,Comprehensive study of leadership with emphasis on theoretical foundations and practical applications.,3,BUSI 327 and senior standing or graduate status
Entrepreneurship,ENTR 155,Principles of Analysis,Rigorous treatment of analysis theory and applications with emphasis on research methodology.,3,None
Entrepreneurship,ENTR 159,Introduction to Workshop,In-depth analysis of workshop principles. Students will develop critical thinking and problem-solving skills.,3,None
Entrepreneurship,ENTR 201,Intermediate Methods,Advanced exploration of methods covering current research and industry practices.,4,ENTR 169 or equivalent
Entrepreneurship,ENTR 246,Applied Seminar,Comprehensive study of seminar with emphasis on theoretical foundations and practical applications.,4,ENTR 163 or equivalent
Entrepreneurship,ENTR 334,Advanced Seminar,Fundamental concepts and applications of seminar. Designed for students pursuing careers in related fields.,3,ENTR 281 and junior standing
Entrepreneurship,ENTR 326,Research,Advanced exploration of research covering current research and industry practices.,3,ENTR 226 and junior standing
Entrepreneurship,ENTR 338,Practice,Fundamental concepts and applications of practice. Designed for students pursuing careers in related fields.,4,ENTR 247 and junior standing
Entrepreneurship,ENTR 489,Advanced Theory,Comprehensive study of theory with emphasis on theoretical foundations and practical applications.,3,ENTR 387 and senior standing or graduate status
Entrepreneurship,ENTR 404,Special Topics in Research,In-depth analysis of research principles. Students will develop critical thinking and problem-solving skills.,3,ENTR 343 and senior standing or graduate status
Entrepreneurship,ENTR 464,Advanced Practice,Examination of key concepts and methodologies in practice. Includes hands-on experience and case studies.,4,ENTR 381 and senior standing or graduate status
Entrepreneurship,ENTR 666,Graduate Workshop,Comprehensive study of workshop with emphasis on theoretical foundations and practical applications.,3,ENTR 359 and senior standing or graduate status
Entrepreneurship,ENTR 599,Advanced Methods,Examination of key concepts and methodologies in methods. Includes hands-on experience and case studies.,4,ENTR 315 and senior standing or graduate status
Entrepreneurship,ENTR 613,Advanced Workshop,Comprehensive study of workshop with emphasis on theoretical foundations and practical applications.,4,ENTR 344 and senior standing or graduate status
Entrepreneurship,ENTR 678,Special Topics in Applications,Interdisciplinary approach to applications combining theoretical knowledge with practical problem-solving.,4,ENTR 364 and senior standing or graduate status
Accounting,ACCT 133,Principles of Theory,Advanced exploration of theory covering current research and industry practices.,3,None
Accounting,ACCT 139,Principles of Practice,Examination of key concepts and methodologies in practice. Includes hands-on experience and case studies.,3,None
